10-12-2015 03:24:50 |--| STATUS : ERROR |--| CODE : nn |--| RATE : B2-CREDITCARD-8000 |--| COMPTElogin : test
10-12-2015 04:17:36 |--| STATUS : OK |--| CODE : ddmuml3s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : tulwio
10-12-2015 06:28:54 |--| STATUS : ERROR |--| CODE : 55 |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : test
10-12-2015 07:27:40 |--| STATUS : ERROR |--| CODE : ZklMD67ETR23 |--| RATE : PAYPAL-10000 |--| COMPTElogin : Lixtine2
10-12-2015 07:28:12 |--| STATUS : OK |--| CODE : du1u31us |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : Neft-Gaming
10-12-2015 07:47:18 |--| STATUS : OK |--| CODE : 1ub3uzqg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:56:15 |--| STATUS : OK |--| CODE : z71wle6g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:56:26 |--| STATUS : OK |--| CODE : 2ilp77zg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:56:37 |--| STATUS : OK |--| CODE : mkuhhkug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:56:43 |--| STATUS : OK |--| CODE : i6bidfwg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:56:51 |--| STATUS : OK |--| CODE : h974fq8g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:57:04 |--| STATUS : OK |--| CODE : uuuz28cg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:57:15 |--| STATUS : OK |--| CODE : zzwn26rg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:57:26 |--| STATUS : OK |--| CODE : dqr2cpug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:57:35 |--| STATUS : OK |--| CODE : 1uhh72lg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:57:47 |--| STATUS : ERROR |--| CODE : 7aad72bg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:58:41 |--| STATUS : OK |--| CODE : 8nlurrug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 07:59:24 |--| STATUS : OK |--| CODE : c82p7ubs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : theo72
10-12-2015 09:16:51 |--| STATUS : ERROR |--| CODE : 1240 |--| RATE : PAYPAL-10000 |--| COMPTElogin : mrhell
10-12-2015 09:16:59 |--| STATUS : ERROR |--| CODE : 124571423655 |--| RATE : PAYPAL-10000 |--| COMPTElogin : mrhell
10-12-2015 09:26:06 |--| STATUS : OK |--| CODE : CJ4XYMVB |--| RATE : B2-CREDITCARD-2500 |--| COMPTElogin : microssofte
10-12-2015 09:39:10 |--| STATUS : OK |--| CODE : 7m1i87qs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : nagazaki
10-12-2015 09:39:20 |--| STATUS : OK |--| CODE : bej477zs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : nagazaki
10-12-2015 10:03:20 |--| STATUS : ERROR |--| CODE : 573638 |--| RATE : B2-CREDITCARD-600 |--| COMPTElogin : miniyox73
10-12-2015 10:03:32 |--| STATUS : ERROR |--| CODE : 573638 |--| RATE : B2-CREDITCARD-600 |--| COMPTElogin : miniyox73
10-12-2015 10:04:15 |--| STATUS : OK |--| CODE : ccuy8p3w |--| RATE : B2-CREDITCARD-600 |--| COMPTElogin : miniyox73
10-12-2015 10:04:26 |--| STATUS : OK |--| CODE : CZ6PMBG7 |--| RATE : B2-CREDITCARD-2500 |--| COMPTElogin : microssofte
10-12-2015 10:15:45 |--| STATUS : ERROR |--| CODE : KSD9713 |--| RATE : RE-MA-SMS-2400 |--| COMPTElogin : BurN_Clan
10-12-2015 11:14:45 |--| STATUS : OK |--| CODE : N8GTU4F7 |--| RATE : NEOSURF-800 |--| COMPTElogin : Kiritosan
10-12-2015 11:31:38 |--| STATUS : OK |--| CODE : C9CA3FVM |--| RATE : B2-CREDITCARD-1500 |--| COMPTElogin : ImKikoolol
10-12-2015 11:34:49 |--| STATUS : OK |--| CODE : C3M5UAK8 |--| RATE : B2-CREDITCARD-3500 |--| COMPTElogin : Neo82
